"","Company.Maker.if.known","Specific.Bean.Origin.or.Bar.Name","REF","Review.Date","Cocoa.Percent","Company.Location","Rating","Bean.Type","Broad.Bean.Origin"
"1","A. Morin","Agua Grande",1876,2016,"63%","France",3.75," ","Sao Tome"
"2","A. Morin","Kpime",1676,2015,"70%","France",2.75," ","Togo"
"3","A. Morin","Atsane",1676,2015,"70%","France",3," ","Togo"
"4","A. Morin","Akata",1680,2015,"70%","France",3.5," ","Togo"
"5","A. Morin","Quilla",1704,2015,"70%","France",3.5," ","Peru"
"6","A. Morin","Carenero",1315,2014,"70%","France",2.75,"Criollo","Venezuela"
"7","A. Morin","Cuba",1315,2014,"70%","France",3.5," ","Cuba"
"8","A. Morin","Sur del Lago",1315,2014,"70%","France",3.5,"Criollo","Venezuela"
"9","A. Morin","Puerto Cabello",1319,2014,"70%","France",3.75,"Criollo","Venezuela"
"10","A. Morin","Pablino",1319,2014,"70%","France",4," ","Peru"
"11","A. Morin","Panama",1011,2013,"70%","France",2.75," ","Panama"
"12","A. Morin","Madagascar",1011,2013,"70%","France",3,"Criollo","Madagascar"
"13","A. Morin","Brazil",1011,2013,"70%","France",3.25," ","Brazil"
"14","A. Morin","Equateur",1011,2013,"70%","France",3.75," ","Ecuador"
"15","A. Morin","Colombie",1015,2013,"70%","France",2.75," ","Colombia"
"16","A. Morin","Birmanie",1015,2013,"70%","France",3," ","Burma"
"17","A. Morin","Papua New Guinea",1015,2013,"70%","France",3.25," ","Papua New Guinea"
"18","A. Morin","Chuao",1015,2013,"70%","France",4,"Trinitario","Venezuela"
"19","A. Morin","Piura",1019,2013,"70%","France",3.25," ","Peru"
"20","A. Morin","Chanchamayo Province",1019,2013,"70%","France",3.5," ","Peru"
"21","A. Morin","Chanchamayo Province",1019,2013,"63%","France",4," ","Peru"
"22","A. Morin","Bolivia",797,2012,"70%","France",3.5," ","Bolivia"
"23","A. Morin","Peru",797,2012,"63%","France",3.75," ","Peru"
"24","Acalli","Chulucanas, El Platanal",1462,2015,"70%","U.S.A.",3.75," ","Peru"
"25","Acalli","Tumbes, Norandino",1470,2015,"70%","U.S.A.",3.75,"Criollo","Peru"
"26","Adi","Vanua Levu",705,2011,"60%","Fiji",2.75,"Trinitario","Fiji"
"27","Adi","Vanua Levu, Toto-A",705,2011,"80%","Fiji",3.25,"Trinitario","Fiji"
"28","Adi","Vanua Levu",705,2011,"88%","Fiji",3.5,"Trinitario","Fiji"
"29","Adi","Vanua Levu, Ami-Ami-CA",705,2011,"72%","Fiji",3.5,"Trinitario","Fiji"
"30","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"55%","Ecuador",2.75,"Forastero (Arriba)","Ecuador"
"31","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"70%","Ecuador",3,"Forastero (Arriba)","Ecuador"
"32","Ah Cacao","Tabasco",316,2009,"70%","Mexico",3,"Criollo","Mexico"
"33","Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,"75%","Switzerland",3.75,"Trinitario","Indonesia"
"34","Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,"75%","Switzerland",2.75,"Criollo","Madagascar"
"35","Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,"75%","Switzerland",2.75,"Forastero","Brazil"
"36","Alain Ducasse","Trinite",1215,2014,"65%","France",2.75,"Trinitario","Trinidad"
"37","Alain Ducasse","Vietnam",1215,2014,"75%","France",2.75,"Trinitario","Vietnam"
"38","Alain Ducasse","Madagascar",1215,2014,"75%","France",3,"Trinitario","Madagascar"
"39","Alain Ducasse","Chuao",1061,2013,"75%","France",2.5,"Trinitario","Venezuela"
"40","Alain Ducasse","Piura, Perou",1173,2013,"75%","France",2.5," ","Peru"
"41","Alexandre","Winak Coop, Napo",1944,2017,"70%","Netherlands",3.5,"Forastero (Nacional)","Ecuador"
"42","Alexandre","La Dalia, Matagalpa",1944,2017,"70%","Netherlands",3.5,"Criollo, Trinitario","Nicaragua"
"43","Alexandre","Tien Giang",1944,2017,"70%","Netherlands",3.5,"Trinitario","Vietnam"
"44","Alexandre","Makwale Village, Kyela",1944,2017,"70%","Netherlands",3.5,"Forastero","Tanzania"
"45","Altus aka Cao Artisan","Momotombo",1728,2016,"60%","U.S.A.",2.75," ","Nicaragua"
"46","Altus aka Cao Artisan","Acopagro",1728,2016,"60%","U.S.A.",3," ","Peru"
"47","Altus aka Cao Artisan","CIAAB Coop",1732,2016,"60%","U.S.A.",2.5," ","Bolivia"
"48","Altus aka Cao Artisan","Villa Andina",1732,2016,"60%","U.S.A.",2.5," ","Peru"
"49","Altus aka Cao Artisan","Gruppo Salinas",1732,2016,"60%","U.S.A.",2.75," ","Ecuador"
"50","Altus aka Cao Artisan","Sur del Lago",1125,2013,"60%","U.S.A.",2.5," ","Venezuela"
"51","Altus aka Cao Artisan","Conacado",1125,2013,"60%","U.S.A.",3,"Trinitario","Dominican Republic"
"52","Altus aka Cao Artisan","Bolivia",1129,2013,"80%","U.S.A.",3.25," ","Bolivia"
"53","Altus aka Cao Artisan","Bolivia",1133,2013,"60%","U.S.A.",3," ","Bolivia"
"54","Altus aka Cao Artisan","Peru",1133,2013,"60%","U.S.A.",3.25," ","Peru"
"55","Amano","Morobe",725,2011,"70%","U.S.A.",4," ","Papua New Guinea"
"56","Amano","Dos Rios",470,2010,"70%","U.S.A.",3.75," ","Dominican Republic"
"57","Amano","Guayas",470,2010,"70%","U.S.A.",4," ","Ecuador"
"58","Amano","Chuao",544,2010,"70%","U.S.A.",3,"Trinitario","Venezuela"
"59","Amano","Montanya",363,2009,"70%","U.S.A.",3," ","Venezuela"
"60","Amano","Bali, Jembrana",304,2008,"70%","U.S.A.",2.75," ","Indonesia"
"61","Amano","Madagascar",129,2007,"70%","U.S.A.",3.5,"Trinitario","Madagascar"
"62","Amano","Cuyagua",147,2007,"70%","U.S.A.",3," ","Venezuela"
"63","Amano","Ocumare",175,2007,"70%","U.S.A.",3.75,"Criollo","Venezuela"
"64","Amatller (Simon Coll)","Ghana",322,2009,"70%","Spain",3,"Forastero","Ghana"
"65","Amatller (Simon Coll)","Ecuador",327,2009,"70%","Spain",2.75," ","Ecuador"
"66","Amatller (Simon Coll)","Ecuador",464,2009,"85%","Spain",2.75," ","Ecuador"
"67","Amatller (Simon Coll)","Ghana",464,2009,"85%","Spain",3,"Forastero","Ghana"
"68","Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,"72%","Peru",3.25," ","Peru"
"69","Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,"73%","Peru",3.5,"Trinitario","Peru"
"70","Ambrosia","Belize",1494,2015,"64%","Canada",3,"Trinitario","Belize"
"71","Ambrosia","Madagascar",1494,2015,"66%","Canada",3.25,"Trinitario","Madagascar"
"72","Ambrosia","Dominican Republic",1498,2015,"75%","Canada",3.25," ","Dominican Republic"
"73","Ambrosia","Papua New Guinea",1498,2015,"63%","Canada",3.25," ","Papua New Guinea"
